Resumen,Clave de incidencia,ID de la incidencia,Tipo de Incidencia,Estado,Clave del proyecto,Nombre del proyecto,Tipo de proyecto,Responsable del proyecto,ID del responsable del proyecto,Descripción del proyecto,Prioridad,Resolución,Persona asignada,ID de la persona asignada,Informador,ID del informador,Creador,ID del creador,Creada,Actualizada,Vista por Última Vez,Resuelta,Fecha de vencimiento,Votos,Descripción,Entorno,Interesados,ID de los interesados,Registrar Horas de Trabajo,Estimación original,Trabajo restante estimado,Tiempo Trabajado,Relación de trabajo,Σ Estimación original,Σ Trabajo restante estimado,Σ Tiempo empleado,Nivel de Seguridad,Campo personalizado (Casos de prueba),Campo personalizado (Criterios de aceptacion),Campo personalizado (Issue color),Campo personalizado (Rank),Sprint,Campo personalizado (Start date),Campo personalizado (Team),Campo personalizado (Tipo),Campo personalizado (development),Comentario,Categoría de estado,Categoría de estado cambiada,Principal,Clave principal,Parent summary
[Backend] E2E Test: Gestión de Clientes,DUMI-129,10741,Subtarea,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,Alba Malca,712020:1eb62840-a0a3-45d0-b3ba-550c72b01b58,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,30/nov/25 7:08 PM,04/dic/25 1:29 AM,,,,0,"Crear prueba en {{test/customer.e2e-spec.ts}} (o {{app.e2e-spec.ts}}) simulando un usuario logueado como Seller que:



# Registra un cliente (201 Created).



# Intenta registrar con datos incompletos (400 Bad Request).



# Consulta la lista y verifica que el cliente nuevo está ahí.",,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,,,,,,,,,,,,,0|i000hj:,Tablero Sprint 1,,,Pruebas,{},,Por hacer,30/nov/25 7:08 PM,10518,DUMI-85,Registro de cliente
[Backend] Configurar Catálogos y Seeder,DUMI-130,10775,Subtarea,Finalizada,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,Listo,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,30/nov/25 7:24 PM,04/dic/25 11:52 AM,,04/dic/25 11:52 AM,26/sep/25 12:00 AM,0,"# Implementar {{SizeEntity}} y {{GenderEntity}} ({{src/clothes/entities/*}}).



# Crear el script {{scripts/clothes:sizes-genderes.seeder.ts}} para poblar los valores estáticos (S, M, L... / HOMBRE, MUJER...) necesarios para las variantes.",,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,;04/dic/25 11:52 AM;ug:14a1becf-b4f8-4db1-be5e-3b8dd417387b;3600,3600,0,3600,100 %,3600,0,3600,,,,,0|i000hr:,Tablero Sprint 1,26/sep/25 12:00 AM,,Datos,{},,Listo,04/dic/25 11:52 AM,10521,DUMI-88,Registro de prenda
[Backend] Definir Entidades Relacionales,DUMI-131,10777,Subtarea,Finalizada,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,Listo,Alba Malca,712020:1eb62840-a0a3-45d0-b3ba-550c72b01b58,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,30/nov/25 7:24 PM,04/dic/25 11:53 AM,,04/dic/25 11:53 AM,26/sep/25 12:00 AM,0,"Crear {{ClothesEntity}}, {{ClothesVariantEntity}} (relación N:1 con Size/Gender) y {{ClotheImageEntity}}. Configurar las relaciones ({{OneToMany}}, {{ManyToOne}}) y Cascade options en TypeORM.",,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,;04/dic/25 11:53 AM;ug:14a1becf-b4f8-4db1-be5e-3b8dd417387b;7200,7200,0,7200,100 %,7200,0,7200,,,,,0|i000hz:,Tablero Sprint 1,26/sep/25 12:00 AM,,Desarrollo,{},,Listo,04/dic/25 11:53 AM,10521,DUMI-88,Registro de prenda
[Backend] DTOs con Validación Anidada,DUMI-132,10779,Subtarea,Finalizada,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,Listo,Alba Malca,712020:1eb62840-a0a3-45d0-b3ba-550c72b01b58,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,30/nov/25 7:24 PM,04/dic/25 11:54 AM,,04/dic/25 11:54 AM,26/sep/25 12:00 AM,0,Implementar {{CreateClothesDTO}} ({{src/clothes/dto/create-clothes.dto.ts}}) usando {{ValidateNested}} y {{Type}} para validar arrays de {{variants}} (Talla/Género/Precio) e {{images}} (ContentType). Asegurar validación de duplicados lógicos.,,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,;04/dic/25 11:54 AM;ug:14a1becf-b4f8-4db1-be5e-3b8dd417387b;7200,7200,0,7200,100 %,7200,0,7200,,,,,0|i000i7:,Tablero Sprint 1,26/sep/25 12:00 AM,,Validación,{},,Listo,04/dic/25 11:54 AM,10521,DUMI-88,Registro de prenda
[Backend] Servicio: Creación de Prenda,DUMI-133,10781,Subtarea,Finalizada,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,Listo,Alba Malca,712020:1eb62840-a0a3-45d0-b3ba-550c72b01b58,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,30/nov/25 7:24 PM,04/dic/25 12:03 PM,,04/dic/25 12:03 PM,29/sep/25 12:00 AM,0,"En {{src/clothes/clothes.service.ts}} -> {{addNewClothesItem}}: Lógica para recibir el DTO, buscar las entidades de Talla/Género correspondientes y guardar la Prenda y sus Variantes en una transacción.",,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,;04/dic/25 12:00 PM;ug:14a1becf-b4f8-4db1-be5e-3b8dd417387b;7200,7200,0,7200,100 %,7200,0,7200,,,,,0|i000if:,Tablero Sprint 1,29/sep/25 12:00 AM,,Desarrollo,{},,Listo,04/dic/25 12:03 PM,10521,DUMI-88,Registro de prenda
[Backend] Orquestación de Imágenes (Controller),DUMI-134,10783,Subtarea,Finalizada,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,Listo,Alba Malca,712020:1eb62840-a0a3-45d0-b3ba-550c72b01b58,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,30/nov/25 7:24 PM,04/dic/25 12:03 PM,,04/dic/25 12:03 PM,29/sep/25 12:00 AM,0,"En {{src/clothes/clothes.controller.ts}}: Implementar el flujo híbrido:



# Llamar al servicio para crear la prenda.



# Llamar a {{StorageService.createPresignedPuts}} para generar URLs de subida.



# Guardar las URLs resultantes en {{ClotheImageEntity}}.



# Retornar la prenda + las URLs firmadas.",,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,;04/dic/25 12:02 PM;ug:14a1becf-b4f8-4db1-be5e-3b8dd417387b;10800,10800,0,10800,100 %,10800,0,10800,,,,,0|i000in:,Tablero Sprint 1,29/sep/25 12:00 AM,,Integración,{},,Listo,04/dic/25 12:03 PM,10521,DUMI-88,Registro de prenda
[Backend] E2E Test: Creación Completa,DUMI-135,10785,Subtarea,Finalizada,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,Listo,Alba Malca,712020:1eb62840-a0a3-45d0-b3ba-550c72b01b58,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,30/nov/25 7:24 PM,04/dic/25 12:03 PM,,04/dic/25 12:03 PM,29/sep/25 12:00 AM,0,"Test en {{test/app.e2e-spec.ts}} simulando Admin:



# POST con variantes válidas -> 201 + PresignedURLs.
# Verificar persistencia en DB (relaciones creadas).",,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,;04/dic/25 12:03 PM;ug:14a1becf-b4f8-4db1-be5e-3b8dd417387b;10800,10800,0,10800,100 %,10800,0,10800,,,,,0|i000iv:,Tablero Sprint 1,29/sep/25 12:00 AM,,Pruebas,{},,Listo,04/dic/25 12:03 PM,10521,DUMI-88,Registro de prenda
[Backend] Definir Entidades Relacionales (Master-Detail),DUMI-136,10787,Subtarea,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,30/nov/25 7:39 PM,04/dic/25 2:06 AM,,,,0,"# Crear {{QuoteEntity}} (Cabecera) con estado {{PENDING}} por defecto ({{QuoteStatus}} enum) y relación con {{Customer}}.



# Crear {{QuoteDetailEntity}} (Detalle) relacionando {{Quote}} con {{ClothesVariant}}. Almacenar {{unitPrice}} histórico y {{quantity}}.",,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,,,,,,,,,,,,,0|i000j3:,Tablero Sprint 2,,,Desarrollo,{},,Por hacer,30/nov/25 7:39 PM,10524,DUMI-91,Crear cotización
[Backend] DTO de Creación con Validación Anidada,DUMI-137,10789,Subtarea,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,Carlos Alonso Díaz Uceda,712020:c7bec43b-2b9d-4bf8-b9a1-40b1314cdadf,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,30/nov/25 7:39 PM,04/dic/25 2:06 AM,,,,0,Implementar {{src/quote/dtos/create-quote.dto.ts}}. Usar {{@ValidateNested}} para validar el array de {{details}}. Asegurar que {{quantity}} sea entero positivo y {{clothesVariantId}} sea UUID válido.,,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,,,,,,,,,,,,,0|i000jb:,Tablero Sprint 2,,,Validación,{},,Por hacer,30/nov/25 7:39 PM,10524,DUMI-91,Crear cotización
[Backend] Lógica de Cálculo de Precios (Motor),DUMI-138,10791,Subtarea,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,Alba Malca,712020:1eb62840-a0a3-45d0-b3ba-550c72b01b58,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,30/nov/25 7:39 PM,04/dic/25 2:06 AM,,,,0,"En {{src/quote/quote.service.ts}}, implementar método privado {{getDetailUnitPrice}}. Debe:



# Buscar la variante y su prenda padre.



# Sumar {{Clothes.price}} + {{ClothesVariant.additional}}.



# Retornar el precio unitario calculado seguro.",,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,,,,,,,,,,,,,0|i000jj:,Tablero Sprint 2,,,Desarrollo,{},,Por hacer,30/nov/25 7:39 PM,10524,DUMI-91,Crear cotización
[Backend] Servicio: Orquestación de Creación,DUMI-139,10793,Subtarea,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,Alba Malca,712020:1eb62840-a0a3-45d0-b3ba-550c72b01b58,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,30/nov/25 7:39 PM,04/dic/25 2:06 AM,,,,0,"Implementar {{createQuote}} en el servicio:



# Validar existencia del Customer.



# Invocar motor de precios para cada item.



# Calcular {{Total}} global.



# Guardar Cabecera y Detalles en orden (o transacción).",,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,,,,,,,,,,,,,0|i000jr:,Tablero Sprint 2,,,Desarrollo,{},,Por hacer,30/nov/25 7:39 PM,10524,DUMI-91,Crear cotización
[Backend] Endpoint Protegido para Cotizar,DUMI-140,10795,Subtarea,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,30/nov/25 7:39 PM,04/dic/25 2:06 AM,,,,0,"En {{src/quote/quote.controller.ts}}, exponer {{POST /quotes}}. Decorar con {{@Roles(ROLES.SELLER)}} y {{@UseGuards}} para asegurar que solo empleados autenticados puedan cotizar.",,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,,,,,,,,,,,,,0|i000jz:,Tablero Sprint 2,,,Seguridad,{},,Por hacer,30/nov/25 7:39 PM,10524,DUMI-91,Crear cotización
[Backend] E2E Test: Cálculo de Cotización,DUMI-141,10797,Subtarea,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,30/nov/25 7:39 PM,04/dic/25 2:06 AM,,,,0,"Crear {{test/quote.e2e-spec.ts}} (o similar):



# Crear cotización con 2 prendas.



# Verificar que {{Total = (P1 * Q1) + (P2 * Q2)}}.



# Verificar estado inicial {{PENDING}}.



# Intentar con cliente inexistente (Error 404).",,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,,,,,,,,,,,,,0|i000k7:,Tablero Sprint 2,,,Pruebas,{},,Por hacer,30/nov/25 7:39 PM,10524,DUMI-91,Crear cotización
[Backend] Definir Interface de Resumen (QuoteSummary),DUMI-146,10839,Subtarea,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,Carlos Alonso Díaz Uceda,712020:c7bec43b-2b9d-4bf8-b9a1-40b1314cdadf,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,30/nov/25 8:13 PM,04/dic/25 1:57 AM,,,,0,"Implementar {{src/quote/interfaces/clothes-data.interface.ts}}. Definir la estructura plana que necesita la tabla del UI: {{id}}, {{total}}, {{status}}, objeto {{customer}} (nombre/teléfono) y contadores calculados ({{totalClothes}}, {{totalUnitsToProduced}}).",,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,,,,,,,,,,,,,0|i000lb:,Tablero Sprint 2,,,Desarrollo,{},,Por hacer,30/nov/25 8:13 PM,10527,DUMI-94,Listar cotizaciones
[Backend] Implementar Query de Listado (Service),DUMI-147,10841,Subtarea,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,30/nov/25 8:13 PM,04/dic/25 1:57 AM,,,,0,"En {{src/quote/quote.service.ts}}, implementar {{getAll()}} y {{getQuotesByStatus(status)}}.



*Clave:* Debes realizar el JOIN con {{Customer}} y {{QuoteDetail}} para calcular los totales y luego mapear la respuesta cruda (raw/entities) a la estructura {{QuoteSummary}}.",,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,,,,,,,,,,,,,0|i000lj:,Tablero Sprint 2,,,Desarrollo,{},,Por hacer,30/nov/25 8:13 PM,10527,DUMI-94,Listar cotizaciones
[Backend] Endpoint de Listado con Filtros,DUMI-148,10843,Subtarea,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,30/nov/25 8:13 PM,04/dic/25 1:57 AM,,,,0,"En {{src/quote/quote.controller.ts}}, implementar {{GET /quotes}}.



# Aceptar Query Param opcional {{?status=...}}.



# Validar que el status pertenezca al Enum {{QuoteStatus}} (lanzar {{BadRequest}} si no).



# Llamar al método del servicio correspondiente.",,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,,,,,,,,,,,,,0|i000lr:,Tablero Sprint 2,,,Integración,{},,Por hacer,30/nov/25 8:13 PM,10527,DUMI-94,Listar cotizaciones
[Backend] E2E Test: Filtros de Cotización,DUMI-149,10845,Subtarea,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,Alba Malca,712020:1eb62840-a0a3-45d0-b3ba-550c72b01b58,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,30/nov/25 8:13 PM,04/dic/25 1:57 AM,,,,0,"Crear test en {{test/quote.e2e-spec.ts}}:



# Crear 2 cotizaciones (1 PENDING, 1 APPROVED).



# {{GET /quotes}} -> Debe traer 2.



# {{GET /quotes?status=PENDING}} -> Debe traer 1.



# {{GET /quotes?status=INVALID}} -> Error 400.",,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,,,,,,,,,,,,,0|i000lz:,Tablero Sprint 2,,,Pruebas,{},,Por hacer,30/nov/25 8:13 PM,10527,DUMI-94,Listar cotizaciones
[Backend] Definir Entidades Order y Address,DUMI-150,10847,Subtarea,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,Alba Malca,712020:1eb62840-a0a3-45d0-b3ba-550c72b01b58,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,30/nov/25 8:20 PM,04/dic/25 1:57 AM,,,,0,"# Implementar {{src/order/entities/address.entity.ts}} (campos: department, city, district, street).



# Implementar {{src/order/entities/order.entity.ts}}. Relación {{OneToOne}} con {{QuoteEntity}} ({{@JoinColumn}}). Campo {{total}} (copia de quote) y {{status}} ({{IN_PRODUCTION}}).",,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,,,,,,,,,,,,,0|i000m7:,Tablero Sprint 2,,,Desarrollo,{},,Por hacer,30/nov/25 8:20 PM,10528,DUMI-95,Generar orden desde cotización
[Backend] DTO de Creación con Validación de Fechas,DUMI-151,10849,Subtarea,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,Alba Malca,712020:1eb62840-a0a3-45d0-b3ba-550c72b01b58,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,30/nov/25 8:20 PM,04/dic/25 1:57 AM,,,,0,"En {{src/order/dtos/create-order.dto.ts}}:



# Validar {{quoteId}} (UUID).



# Validar estructura anidada de {{address}}.



# *Custom Validator:* Implementar lógica (o en el service) para asegurar que {{deliveryDate}} sea > {{Date.now() + 7 days}} y < {{60 days}}.",,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,,,,,,,,,,,,,0|i000mf:,Tablero Sprint 2,,,Validación,{},,Por hacer,30/nov/25 8:20 PM,10528,DUMI-95,Generar orden desde cotización
[Backend] Implementar Lógica Transaccional (Service),DUMI-152,10851,Subtarea,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,30/nov/25 8:20 PM,04/dic/25 1:57 AM,,,,0,"En {{src/order/order.service.ts}}, método {{createOrder}}:



# Usar {{dataSource.manager.transaction}} o {{queryRunner}}.



# Buscar cotización y verificar estado {{PENDING}} (si no, Error).



# Cambiar estado de Cotización a {{APPROVED}}.



# Guardar Address.



# Insertar Order vinculada.



# Commit.",,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,,,,,,,,,,,,,0|i000mn:,Tablero Sprint 2,,,Desarrollo,{},,Por hacer,30/nov/25 8:20 PM,10528,DUMI-95,Generar orden desde cotización
[Backend] Endpoint Protegido de Creación,DUMI-153,10853,Subtarea,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,30/nov/25 8:20 PM,04/dic/25 1:57 AM,,,,0,"En {{src/order/order.controller.ts}}, exponer {{POST /orders}}. Decorar con {{@Roles(ROLES.SELLER)}} para que solo los empleados puedan confirmar ventas.",,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,,,,,,,,,,,,,0|i000mv:,Tablero Sprint 2,,,Seguridad,{},,Por hacer,30/nov/25 8:20 PM,10528,DUMI-95,Generar orden desde cotización
[Backend] E2E Test: Conversión y Restricciones,DUMI-154,10855,Subtarea,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,Alba Malca,712020:1eb62840-a0a3-45d0-b3ba-550c72b01b58,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,30/nov/25 8:20 PM,04/dic/25 1:57 AM,,,,0,"Test en {{test/order.e2e-spec.ts}}:



# Crear Orden válida -> Verificar {{Quote.status}} es {{APPROVED}} y {{Order.status}} es {{IN_PRODUCTION}}.



# Intentar con fecha de entrega mañana -> Error 400.



# Intentar usar una Cotización ya aprobada -> Error 409/400.",,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,,,,,,,,,,,,,0|i000n3:,Tablero Sprint 2,,,Pruebas,{},,Por hacer,30/nov/25 8:20 PM,10528,DUMI-95,Generar orden desde cotización
[Backend] DTO de Actualización de Estado,DUMI-155,10889,Subtarea,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,Alba Malca,712020:1eb62840-a0a3-45d0-b3ba-550c72b01b58,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,30/nov/25 8:52 PM,04/dic/25 1:57 AM,,,,0,"En {{src/order/dtos/update-order.dto.ts}}, asegurar que existe el campo {{status}} validado con {{@IsEnum(OrderStatus)}}. (Opcional: Si el endpoint solo cambia estado, crear {{ChangeStatusDto}}).",,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,,,,,,,,,,,,,0|i000nb:,Tablero Sprint 2,,,Validación,{},,Por hacer,30/nov/25 8:52 PM,10529,DUMI-96,Finalizar orden de producción
[Backend] Lógica de Transición de Estado (Service),DUMI-156,10891,Subtarea,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,30/nov/25 8:52 PM,04/dic/25 1:58 AM,,,,0,"En {{src/order/order.service.ts}}, implementar método {{updateStatus}}",,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,,,,,,,,,,,,,0|i000nj:,Tablero Sprint 2,,,Desarrollo,{},,Por hacer,30/nov/25 8:52 PM,10529,DUMI-96,Finalizar orden de producción
[Backend] Endpoint de Cambio de Estado,DUMI-157,10893,Subtarea,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,30/nov/25 8:52 PM,04/dic/25 1:58 AM,,,,0,"En {{src/order/order.controller.ts}}, implementar {{PATCH /orders/:id/status}} (o reusar {{PATCH /orders/:id}}). Debe recibir el DTO, validar el rol {{SELLER}} y llamar al servicio.",,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,,,,,,,,,,,,,0|i000nr:,Tablero Sprint 2,,,Integración,{},,Por hacer,30/nov/25 8:52 PM,10529,DUMI-96,Finalizar orden de producción
[Backend] E2E Test: Finalizar Orden,DUMI-158,10895,Subtarea,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,Alba Malca,712020:1eb62840-a0a3-45d0-b3ba-550c72b01b58,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,30/nov/25 8:52 PM,04/dic/25 1:58 AM,,,,0,"Crear test en {{test/order.e2e-spec.ts}}:



# Crear Orden ({{IN_PRODUCTION}}).



# Enviar {{PATCH}} con {{{ status: 'DONE' }}} -> Esperar 200 OK.



# Verificar en DB que status es {{DONE}}.



# Intentar transición inválida -> Esperar 400.",,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,,,,,,,,,,,,,0|i000nz:,Tablero Sprint 2,,,Pruebas,{},,Por hacer,30/nov/25 8:52 PM,10529,DUMI-96,Finalizar orden de producción
[Backend] Definir Interface de Resumen (OrderSummary),DUMI-159,10897,Subtarea,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,30/nov/25 9:01 PM,04/dic/25 1:58 AM,,,,0,"Crear {{src/order/interfaces/order-summary.interface.ts}}. Debe aplanar la respuesta para el frontend: {{id}}, {{total}} (desde quote), {{status}}, {{deliveryDate}}, {{customerName}} (desde quote.customer).",,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,,,,,,,,,,,,,0|i000o7:,Tablero Sprint 2,,,Desarrollo,{},,Por hacer,30/nov/25 9:01 PM,10530,DUMI-97,Listar órdenes
